id,cast,crew
338352,14,1
655803,5,5
796116,0,1
790514,0,1
166639,6,3
589650,4,6
255727,6,8
27742,10,9
726213,0,1
2749,51,327
277090,5,1
273403,15,14
23142,24,6
17198,7,6
44108,5,30
9606,39,46
673182,3,2
392,22,38
98963,6,0
142556,5,5
577442,13,6
114816,4,2
71126,19,1
114030,19,2
10867,32,8
1734,18,167
220652,0,1
125803,12,6
786199,0,2
161080,42,31
2018,17,17
182134,15,3
98972,4,0
559167,0,1
226340,7,3
131948,19,11
313701,5,5
203425,14,4
109139,7,9
33086,7,1
31002,28,19
76811,8,3
644,76,179
67286,1,5
89496,0,0
421828,0,1
12600,28,15
293245,17,23
15319,14,13
599921,5,2
598100,6,6
584239,1,4
441886,0,1
436620,5,2
337648,3,8
257864,5,2
200779,0,0
11849,16,107
535075,1,0
282290,2,1
27723,13,2
129,48,28
435479,5,7
27245,4,9
626547,8,2
448911,23,0
633634,1,1
536966,16,8
869,23,26
284257,1,1
324197,4,1
59297,11,63
63234,0,5
287328,4,2
78139,4,4
431474,5,3
31023,27,23
501567,1,1
245687,1,6
662780,6,1
200428,15,3
324689,1,2
14355,8,2
331,28,181
411218,4,5
710172,0,1
730917,0,0
608396,5,5
155765,12,7
117808,23,7
36836,15,3
410145,6,5
308885,5,1
241410,10,3
505873,8,5
435191,0,0
391321,9,2
30570,9,3
376746,9,7
261302,6,5
11299,15,17
12650,7,13
755417,0,0
33333,14,9
4133,48,46
30839,31,11
5175,32,16
236050,3,3
26895,10,3
41282,13,27
466128,9,7
355185,10,2
218680,3,5
361356,13,2
268673,8,2
200755,14,2
1722,16,35
634,41,129
552411,1,0
454272,5,1
391312,12,4
106438,8,5
672259,5,5
423354,0,1
265350,2,1
81791,5,10
709375,0,6
709365,0,6
709345,0,6
222462,5,9
676384,19,7
582757,1,4
691295,1,0
822377,6,2
616032,10,8
563516,13,5
313865,12,7
21325,12,13
9476,37,121
1995,23,53
32248,11,1
376722,5,5
383579,0,2
81760,13,8
39017,10,1
37959,25,8
9799,23,173
208327,0,5
826722,1,1
320904,9,2
8922,16,109
4248,35,188
314964,9,8
86361,15,2
37712,13,17
2896,17,9
12720,18,11
795374,7,4
54129,20,28
670103,7,1
16184,15,8
280591,4,2
36243,20,16
9378,18,167
8342,13,16
617143,0,1
605235,0,1
250415,4,2
191371,8,4
44768,12,15
9397,27,208
10865,16,83
1933,14,95
206575,6,5
435936,7,2
33346,12,7
11370,41,159
677569,0,1
441430,0,1
644638,6,1
194,79,102
446480,2,0
824,137,26
644636,8,3
408586,1,0
778083,16,0
616033,5,6
283907,6,2
671,57,184
12212,19,102
475187,5,2
452198,10,5
353549,29,9
47077,14,9
11660,26,24
592285,10,3
418415,6,3
354433,0,2
42360,18,8
17180,11,5
808,42,305
758996,0,0
44604,17,7
21036,4,10
